userID,itemID,rating
194,99,1
180,94,1
65,18,1
37,57,1
175,37,1
172,65,1
19,53,1
44,20,1
26,6,1
168,37,1
116,83,1
172,94,1
158,78,1
17,92,1
169,48,1
14,71,1
84,29,1
46,99,1
167,92,1
88,63,1
184,76,1
113,22,1
191,94,1
77,96,1
39,11,1
189,15,1
167,80,1
97,76,1
183,75,1
127,7,1
181,47,1
75,47,1
191,78,1
159,69,1
115,42,1
181,0,1
176,85,1
144,84,1
23,67,1
175,37,1
133,15,1
174,29,1
123,28,1
69,21,1
0,27,1
112,1,1
122,81,1
125,66,1
193,12,1
25,21,1
132,53,1
62,53,1
86,49,1
168,5,1
93,81,1
71,49,1
0,37,1
115,87,1
53,69,1
30,91,1
151,55,1
197,36,1
157,11,1
9,4,1
143,96,1
69,32,1
144,10,1
141,99,1
131,11,1
128,98,1
117,42,1
22,38,1
114,64,1
16,15,1
105,37,1
116,25,1
181,34,1
192,47,1
124,55,1
181,81,1
57,93,1
42,72,1
115,68,1
94,17,1
16,78,1
62,47,1
89,49,1
178,93,1
82,14,1
198,75,1
148,53,1
0,91,1
121,95,1
114,31,1
79,75,1
59,75,1
69,8,1
1,42,1
36,37,1
52,96,1
155,64,1
31,67,1
160,24,1
154,7,1
20,33,1
136,51,1
139,45,1
141,53,1
112,58,1
179,90,1
70,88,1
148,6,1
197,91,1
57,82,1
36,29,1
88,87,1
100,37,1
147,24,1
29,86,1
107,35,1
103,21,1
146,39,1
197,58,1
142,67,1
42,29,1
176,64,1
103,3,1
10,1,1
156,77,1
189,91,1
54,60,1
84,58,1
180,69,1
130,56,1
199,22,1
119,17,1
15,26,1
156,41,1
26,81,1
45,90,1
66,90,1
171,71,1
77,93,1
24,58,1
133,80,1
37,98,1
173,88,1
28,63,1
143,39,1
76,95,1
159,0,1
11,76,1
74,98,1
21,77,1
62,79,1
191,75,1
123,72,1
76,69,1
196,81,1
50,30,1
153,40,1
129,19,1
9,67,1
13,13,1
26,11,1
105,8,1
106,54,1
52,1,1
122,4,1
98,78,1
90,96,1
174,58,1
163,17,1
194,97,1
194,92,1
141,42,1
12,46,1
7,0,1
60,92,1
135,35,1
145,38,1
183,6,1
79,45,1
191,88,1
146,8,1
53,82,1
168,7,1
101,85,1
59,6,1
11,47,1
162,44,1
162,47,1
185,60,1
173,63,1
185,87,1
139,87,1
74,38,1
157,49,1
184,78,1
88,0,1
34,3,1
15,92,1
153,45,1
131,80,1
171,3,1
92,79,1
149,15,1
16,75,1
6,61,1
2,67,1
24,26,1
66,59,1
152,96,1
138,62,1
49,8,1
181,55,1
132,69,1
44,73,1
86,27,1
157,91,1
174,98,1
119,27,1
145,21,1
62,85,1
94,75,1
56,29,1
64,81,1
64,28,1
119,85,1
116,84,1
76,44,1
194,61,1
158,6,1
196,17,1
161,40,1
157,84,1
134,64,1
183,95,1
42,97,1
174,41,1
32,40,1
41,77,1
159,61,1
108,9,1
194,43,1
97,57,1
197,7,1
55,33,1
83,35,1
47,24,1
107,56,1
83,33,1
67,10,1
59,21,1
29,68,1
128,51,1
7,16,1
9,83,1
52,98,1
15,20,1
22,36,1
1,24,1
34,62,1
184,5,1
153,10,1
193,92,1
102,26,1
126,29,1
112,24,1
105,97,1
178,61,1
170,19,1
42,31,1
132,39,1
178,54,1
44,72,1
153,65,1
143,43,1
133,45,1
188,50,1
52,24,1
162,55,1
94,92,1
139,23,1
106,95,1
24,69,1
85,97,1
157,81,1
91,19,1
54,81,1
95,58,1
3,56,1
76,3,1
60,29,1
159,5,1
172,16,1
63,90,1
140,36,1
11,22,1
152,26,1
171,96,1
65,56,1
24,81,1
111,61,1
8,18,1
63,48,1
137,42,1
174,26,1
54,96,1
22,75,1
64,47,1
55,70,1
40,44,1
93,61,1
145,76,1
24,2,1
9,4,1
114,37,1
8,31,1
52,1,1
11,4,1
186,63,1
187,8,1
11,50,1
22,15,1
23,53,1
13,25,1
167,66,1
76,33,1
126,25,1
151,0,1
5,94,1
174,27,1
140,38,1
111,61,1
81,68,1
124,19,1
9,64,1
175,0,1
174,88,1
173,58,1
154,38,1
27,67,1
2,81,1
172,67,1
14,56,1
16,12,1
42,60,1
167,64,1
148,20,1
199,80,1
51,72,1
62,88,1
86,24,1
17,87,1
199,91,1
169,87,1
198,22,1
39,28,1
194,61,1
160,82,1
62,76,1
93,83,1
95,53,1
146,38,1
191,4,1
163,18,1
43,29,1
185,8,1
154,73,1
135,1,1
169,59,1
192,91,1
172,4,1
166,33,1
101,21,1
3,34,1
46,38,1
183,32,1
9,83,1
43,66,1
162,30,1
126,63,1
57,8,1
84,27,1
172,20,1
110,38,1
102,66,1
120,66,1
35,36,1
150,28,1
175,93,1
88,18,1
121,87,1
75,63,1
91,54,1
173,36,1
103,34,1
4,98,1
24,76,1
5,64,1
147,7,1
175,16,1
110,13,1
34,14,1
14,69,1
162,66,1
120,13,1
41,37,1
134,19,1
123,81,1
26,58,1
13,27,1
36,1,1
37,52,1
5,29,1
74,40,1
26,19,1
76,18,1
175,5,1
38,6,1
183,12,1
42,82,1
18,98,1
39,78,1
130,38,1
147,11,1
94,93,1
138,6,1
81,21,1
2,97,1
133,6,1
46,97,1
107,42,1
135,50,1
162,32,1
9,37,1
67,77,1
197,25,1
121,52,1
151,85,1
149,19,1
177,25,1
196,35,1
170,8,1
1,43,1
128,71,1
19,13,1
58,35,1
188,40,1
45,45,1
18,55,1
91,62,1
70,43,1
150,15,1
179,72,1
42,93,1
51,53,1
80,43,1
82,46,1
112,14,1
102,9,1
160,15,1
145,12,1
199,72,1
169,19,1
59,20,1
116,43,1
40,85,1
76,37,1
52,80,1
59,3,1
68,88,1
118,64,1
190,21,1
116,15,1
66,26,1
64,97,1
90,63,1
166,53,1
2,74,1
73,30,1
121,92,1
155,85,1
141,21,1
80,15,1
134,10,1
86,18,1
165,31,1
4,9,1
28,32,1
148,82,1
24,22,1
126,84,1
35,3,1
8,66,1
70,89,1
29,7,1
55,27,1
158,67,1
55,76,1
69,29,1
106,83,1
145,98,1
176,6,1
65,75,1
46,25,1
28,92,1
129,43,1
129,55,1
161,19,1
110,14,1
101,89,1
184,14,1
187,59,1
21,58,1
35,20,1
70,42,1
155,56,1
193,33,1
117,56,1
170,65,1
146,50,1
50,20,1
177,65,1
195,16,1
177,19,1
187,79,1
129,35,1
163,24,1
193,75,1
160,62,1
62,12,1
198,96,1
169,69,1
3,56,1
122,19,1
195,26,1
110,41,1
47,4,1
82,26,1
198,34,1
94,51,1
37,83,1
65,6,1
161,58,1
107,8,1
61,87,1
173,35,1
162,55,1
76,17,1
74,14,1
34,98,1
55,42,1
4,40,1
58,56,1
83,48,1
109,57,1
35,88,1
198,10,1
21,18,1
133,49,1
161,98,1
154,96,1
2,91,1
184,61,1
60,51,1
119,72,1
152,27,1
133,86,1
146,79,1
108,5,1
28,90,1
59,62,1
139,44,1
69,88,1
197,12,1
103,98,1
17,71,1
35,54,1
71,39,1
96,50,1
194,62,1
56,53,1
111,95,1
53,88,1
41,22,1
23,55,1
4,70,1
194,48,1
36,28,1
187,78,1
138,50,1
153,88,1
23,27,1
43,51,1
159,38,1
97,96,1
121,37,1
165,27,1
101,85,1
68,61,1
141,56,1
120,67,1
48,21,1
137,25,1
175,30,1
69,42,1
10,23,1
1,87,1
130,2,1
47,62,1
84,53,1
181,98,1
192,14,1
115,15,1
157,41,1
162,15,1
106,33,1
43,24,1
108,64,1
197,55,1
79,26,1
132,74,1
83,20,1
138,69,1
177,9,1
103,98,1
6,13,1
40,91,1
137,95,1
154,55,1
30,18,1
173,81,1
143,63,1
116,44,1
162,4,1
66,36,1
171,65,1
83,12,1
136,93,1
97,76,1
43,38,1
145,55,1
105,87,1
85,19,1
103,94,1
156,4,1
94,13,1
105,58,1
138,98,1
174,69,1
6,49,1
138,29,1
34,28,1
7,20,1
50,61,1
35,28,1
37,49,1
158,54,1
197,45,1
35,78,1
148,68,1
120,58,1
65,49,1
61,66,1
198,33,1
137,32,1
60,14,1
122,26,1
97,23,1
117,74,1
131,68,1
116,36,1
151,68,1
162,88,1
32,38,1
88,49,1
39,23,1
78,17,1
178,54,1
63,76,1
156,67,1
78,89,1
114,96,1
90,76,1
59,84,1
191,10,1
180,48,1
47,52,1
199,40,1
140,69,1
116,11,1
128,87,1
62,93,1
174,61,1
33,62,1
110,8,1
79,96,1
155,12,1
16,34,1
0,4,1
113,54,1
188,93,1
54,52,1
129,76,1
111,80,1
147,9,1
106,86,1
187,62,1
144,90,1
67,83,1
60,76,1
42,55,1
53,54,1
134,90,1
75,24,1
182,17,1
83,86,1
124,68,1
198,52,1
44,64,1
111,93,1
72,82,1
50,98,1
17,44,1
141,44,1
138,14,1
37,41,1
120,50,1
7,71,1
20,21,1
14,42,1
79,69,1
113,75,1
43,82,1
195,90,1
156,30,1
94,24,1
187,35,1
164,38,1
137,21,1
13,63,1
27,68,1
44,19,1
35,49,1
115,59,1
99,97,1
169,65,1
40,12,1
152,98,1
197,75,1
121,19,1
182,58,1
54,43,1
106,31,1
82,20,1
50,80,1
50,87,1
27,75,1
181,10,1
142,34,1
139,71,1
190,81,1
80,24,1
78,37,1
178,10,1
47,26,1
155,2,1
25,45,1
4,98,1
117,54,1
166,58,1
126,60,1
127,12,1
172,54,1
156,95,1
57,4,1
70,71,1
20,30,1
192,88,1
3,66,1
82,75,1
168,38,1
47,86,1
147,26,1
121,42,1
175,51,1
179,93,1
53,97,1
67,55,1
125,48,1
117,69,1
59,30,1
102,16,1
145,23,1
0,33,1
192,43,1
70,26,1
168,51,1
103,91,1
1,69,1
94,52,1
196,90,1
193,54,1
58,57,1
162,15,1
188,93,1
103,0,1
20,13,1
128,9,1
24,4,1
185,45,1
2,25,1
185,85,1
8,65,1
162,31,1
28,25,1
73,60,1
149,41,1
10,51,1
26,87,1
162,33,1
192,54,1
162,43,1
127,93,1
87,92,1
114,35,1
88,34,1
106,61,1
34,15,1
155,99,1
191,94,1
33,66,1
101,82,1
185,75,1
112,82,1
2,44,1
136,57,1
123,67,1
195,9,1
193,23,1
46,24,1
78,9,1
33,48,1
196,99,1
71,99,1
6,90,1
165,96,1
114,3,1
94,74,1
35,21,1
145,27,1
122,1,1
164,70,1
129,82,1
140,96,1
81,15,1
118,68,1
7,62,1
162,22,1
43,0,1
60,23,1
92,11,1
189,66,1
83,70,1
165,15,1
183,33,1
6,56,1
94,65,1
185,79,1
3,31,1
143,44,1
160,28,1
102,90,1
102,44,1
64,43,1
108,80,1
192,28,1
87,31,1
4,62,1
162,76,1
53,81,1
29,43,1
80,43,1
8,76,1
184,55,1
178,72,1
61,7,1
32,38,1
12,4,1
118,93,1
81,43,1
148,32,1
139,23,1
140,51,1
35,43,1
193,75,1
119,58,1
83,65,1
103,82,1
92,86,1
114,54,1
145,81,1
120,65,1
188,21,1
139,36,1
50,88,1
41,72,1
36,96,1
88,36,1
83,9,1
109,51,1
95,65,1
107,50,1
26,42,1
138,0,1
115,32,1
175,30,1
76,92,1
22,13,1
186,60,1
191,8,1
76,83,1
197,0,1
49,73,1
36,13,1
64,84,1
102,8,1
142,71,1
62,18,1
27,54,1
96,59,1
113,34,1
7,93,1
108,99,1
79,51,1
35,54,1
190,72,1
94,31,1
42,61,1
180,33,1
113,5,1
149,10,1
116,3,1
71,47,1
79,27,1
64,85,1
139,53,1
124,53,1
112,10,1
70,60,1
48,3,1
129,76,1
113,27,1
24,25,1
72,59,1
67,23,1
199,57,1
97,58,1
130,64,1
28,69,1
119,81,1
52,4,1
110,38,1
65,72,1
65,78,1
76,16,1
198,49,1
38,94,1
8,7,1
114,90,1
19,27,1
127,31,1
74,50,1
127,4,1
110,97,1
148,81,1
105,73,1
101,15,1
22,19,1
36,77,1
27,33,1
101,79,1
114,2,1
18,74,1
64,84,1
78,77,1
48,47,1
154,35,1
57,65,1
5,47,1
7,28,1
118,47,1
142,22,1
57,22,1
37,38,1
136,35,1
122,59,1
8,40,1
